week_start,publish_date,day_name,daypart,category,theme,title,format,target_time_pt,objective,engagement_move,approval_status,queue_status,asset_path,caption_source,cta,primary_metric,notes
2026-04-06,2026-04-11,Saturday,Midday,Hydrafacial,Service ladder,Express vs Hydrafacial vs Platinum,Carousel,12:30,Clarify menu options,Save reminder,needs_review,needs_approval,mission-control/post.html?id=post-4,mission-control/data/approval-posts.json#post-4,Save this if you are deciding between tiers,saves,Use if the Friday slot performs well; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-06,,Saturday,Evening,Circadia,Barrier calm,Barrier Support Over Trend Chasing,Carousel,,Keep as an optional backlog idea,DM keyword,needs_review,backlog,mission-control/post.html?id=post-6,mission-control/data/approval-posts.json#post-6,DM calm for barrier support,replies,Legacy Circadia backlog pending review; Retired lane is now backlog; current system is two daily draft ideas plus approved scheduled publishing.
2026-04-06,2026-04-12,Sunday,Morning,Daily Tips,Glow reset,Morning Glow Reset,Static,08:30,Prime next week with a simple skincare cue,Save reminder,draft_ready,backlog,exports/instagram-first-batch/01-morning-glow-reset.html,exports/instagram-first-batch/captions.md#01 Morning Glow Reset,Save this for your next reset,saves,Use if Sunday needs a clean fallback; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-06,2026-04-12,Sunday,Midday,Hydrafacial,Hero treatment overview,Midday Hydrafacial,Carousel,12:30,Support monthly maintenance thinking,DM question prompt,draft_ready,backlog,exports/instagram-first-batch/02-midday-hydrafacial.html,exports/instagram-first-batch/captions.md#02 Midday Hydrafacial,DM if you want help choosing a treatment,dms,Backlog option for Sunday midday; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-06,,Sunday,Evening,Circadia,Legacy Circadia backlog,Evening Circadia,Reel,,Close the week with a strong retention post,Save-this prompt,draft_ready,backlog,exports/instagram-first-batch/03-evening-circadia.html,exports/instagram-first-batch/captions.md#03 Evening Circadia,Ask about your evening routine,saves,Use only if no fresher approved Circadia draft exists; Retired lane is now backlog; current system is two daily draft ideas plus approved scheduled publishing.
2026-04-13,2026-04-13,Monday,Morning,Daily Tips,clean habits,Morning Towel Check,Static,08:30,Keep the morning lane practical and useful,Save reminder,needs_review,needs_approval,mission-control/post.html?id=post-13,mission-control/data/approval-posts.json#post-13,Need help simplifying?,saves,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,2026-04-13,Monday,Midday,Hydrafacial,event prep,Hydrafacial Before Events,Carousel,12:30,Support event-prep booking intent,Save reminder,needs_review,needs_approval,mission-control/post.html?id=post-14,mission-control/data/approval-posts.json#post-14,Reserve event prep early,saves,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,,Monday,Evening,Circadia,edited routine,Night Routine Less But Better,Reel,,Keep as an optional backlog idea with a calm homecare message,Save-this prompt,needs_review,backlog,mission-control/post.html?id=post-15,mission-control/data/approval-posts.json#post-15,Ask about a calmer routine,saves,New batch 04/01; Retired lane is now backlog; current system is two daily draft ideas plus approved scheduled publishing.
2026-04-13,2026-04-14,Tuesday,Morning,Daily Tips,daily SPF,SPF In The Car Counts Too,Story,08:30,Keep daily protection top of mind,Reply prompt,needs_review,needs_approval,mission-control/post.html?id=post-16,mission-control/data/approval-posts.json#post-16,Ask which SPF feels easiest,replies,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,2026-04-14,Tuesday,Midday,Hydrafacial,texture reset,Hydrafacial For Texture Days,Carousel,12:30,Support reset-treatment consideration,DM question prompt,needs_review,needs_approval,mission-control/post.html?id=post-17,mission-control/data/approval-posts.json#post-17,Book your skin reset,dms,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,,Tuesday,Evening,Circadia,barrier care,Circadia For Barrier Nights,Carousel,,Keep as an optional backlog idea,DM keyword,needs_review,backlog,mission-control/post.html?id=post-18,mission-control/data/approval-posts.json#post-18,Build a barrier-first night routine,replies,New batch 04/01; Retired lane is now backlog; current system is two daily draft ideas plus approved scheduled publishing.
2026-04-13,2026-04-15,Wednesday,Morning,Daily Tips,gentle cleanse,Stop Over-Cleansing Early,Story,08:30,Keep the morning lane educational,Story poll,needs_review,needs_approval,mission-control/post.html?id=post-19,mission-control/data/approval-posts.json#post-19,Need help simplifying?,story_taps,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,2026-04-15,Wednesday,Midday,Hydrafacial,maintenance,Monthly Hydrafacial Logic,Carousel,12:30,Clarify maintenance logic,DM keyword,needs_review,needs_approval,mission-control/post.html?id=post-20,mission-control/data/approval-posts.json#post-20,Plan your next Hydrafacial,dms,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,,Wednesday,Evening,Circadia,consistency,Calm Skin Loves Consistency,Carousel,,Keep as an optional backlog idea,Save-this prompt,needs_review,backlog,mission-control/post.html?id=post-21,mission-control/data/approval-posts.json#post-21,Ask about a smarter homecare plan,saves,New batch 04/01; Retired lane is now backlog; current system is two daily draft ideas plus approved scheduled publishing.
2026-04-13,2026-04-16,Thursday,Morning,Daily Tips,lip care,Lip SPF Counts Too,Static,08:30,Keep the lane practical and small-habit focused,Save reminder,needs_review,needs_approval,mission-control/post.html?id=post-22,mission-control/data/approval-posts.json#post-22,Ask what to keep in your bag,saves,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,2026-04-16,Thursday,Midday,Hydrafacial,education,Why Extraction Plus Hydration Works,Carousel,12:30,Support treatment understanding,DM question prompt,needs_review,needs_approval,mission-control/post.html?id=post-23,mission-control/data/approval-posts.json#post-23,Ask whether Hydrafacial fits your skin,dms,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,,Thursday,Evening,Circadia,night rhythm,Evening Repair Starts With Rhythm,Reel,,Keep as an optional backlog idea,Save-this prompt,needs_review,backlog,mission-control/post.html?id=post-24,mission-control/data/approval-posts.json#post-24,Build a night routine that fits,saves,New batch 04/01; Retired lane is now backlog; current system is two daily draft ideas plus approved scheduled publishing.
2026-04-13,2026-04-17,Friday,Morning,Daily Tips,linen hygiene,Clean Pillowcase Reminder,Story,08:30,Use a soft habit reminder to drive saves,Save reminder,needs_review,needs_approval,mission-control/post.html?id=post-25,mission-control/data/approval-posts.json#post-25,Save this reminder,saves,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,2026-04-17,Friday,Midday,Hydrafacial,dullness reset,Hydrafacial When Skin Looks Flat,Carousel,12:30,Support Friday treatment demand,DM keyword,needs_review,needs_approval,mission-control/post.html?id=post-26,mission-control/data/approval-posts.json#post-26,Reserve your reset,dms,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,,Friday,Evening,Circadia,barrier support,Your Barrier Needs Less Drama,Carousel,,Keep as an optional backlog idea,DM keyword,needs_review,backlog,mission-control/post.html?id=post-27,mission-control/data/approval-posts.json#post-27,Ask about calming homecare,replies,New batch 04/01; Retired lane is now backlog; current system is two daily draft ideas plus approved scheduled publishing.
2026-04-13,2026-04-18,Saturday,Morning,Daily Tips,water temp,Morning Water Temperature Tip,Story,08:30,Keep Saturday light and useful,Story question,needs_review,needs_approval,mission-control/post.html?id=post-28,mission-control/data/approval-posts.json#post-28,Need a gentler routine?,story_taps,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,2026-04-18,Saturday,Midday,Hydrafacial,packages,Packages Make Sense When You Maintain,Carousel,12:30,Clarify package logic,Save reminder,needs_review,needs_approval,mission-control/post.html?id=post-29,mission-control/data/approval-posts.json#post-29,Ask if a package makes sense,saves,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,,Saturday,Evening,Circadia,treatment alignment,Homecare Should Match Your Facial Plan,Reel,,Keep as an optional backlog idea,Save-this prompt,needs_review,backlog,mission-control/post.html?id=post-30,mission-control/data/approval-posts.json#post-30,Ask for a tailored routine,saves,New batch 04/01; Retired lane is now backlog; current system is two daily draft ideas plus approved scheduled publishing.
2026-04-13,2026-04-19,Sunday,Morning,Daily Tips,hands off face,Touching Your Face Still Matters,Static,08:30,Prime next week with a simple habit,Save reminder,needs_review,needs_approval,mission-control/post.html?id=post-31,mission-control/data/approval-posts.json#post-31,Save this reminder,saves,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
2026-04-13,2026-04-19,Sunday,Midday,Hydrafacial,eye add-on,"When Eyes Look Tired, Add-Ons Help",Carousel,12:30,Support add-on consideration,DM question prompt,needs_review,needs_approval,mission-control/post.html?id=post-32,mission-control/data/approval-posts.json#post-32,Ask about eye-focused add-ons,dms,New batch 04/01; Legacy two-lane queue; current daily generator creates two new drafts at 7:10 AM PT.
